-17.01,20.62,0.01,-38.58,-156.73,16.34,-13.99
-15.89,21.16,0.01,-38.19,-156.55,16.84,-13.69
-14.51,17.63,0.01,-37.75,-156.33,17.24,-13.31
-15.61,24.48,0.01,-37.29,-156.10,17.88,-12.98
-15.42,19.99,0.01,-36.77,-155.77,18.41,-12.55
-14.98,19.25,0.01,-36.37,-155.62,18.77,-12.30
-14.37,19.88,0.01,-36.10,-155.51,19.02,-12.08
-14.19,18.58,0.01,-35.96,-155.36,19.10,-11.82
-13.35,24.90,0.01,-35.94,-155.31,19.27,-11.65
-12.55,25.44,0.01,-35.73,-155.15,19.64,-11.33
-12.22,25.88,0.01,-35.47,-154.81,20.06,-10.85
-13.93,25.80,0.01,-35.10,-154.42,20.58,-10.40
-13.01,21.29,0.01,-34.82,-154.12,20.84,-10.02
-13.26,23.37,0.01,-34.63,-153.92,21.07,-9.75
-9.10,22.70,0.01,-34.55,-153.83,21.16,-9.46
-6.88,27.74,0.01,-34.40,-153.71,21.51,-9.09
-10.00,29.48,0.01,-34.12,-153.44,22.01,-8.68
-8.28,25.30,0.01,-33.65,-153.04,22.56,-8.11
-6.06,22.99,0.01,-33.25,-152.64,22.92,-7.48
-11.03,26.83,0.01,-32.67,-152.09,23.59,-6.89
-10.18,25.40,0.01,-32.32,-151.69,23.96,-6.45
-10.23,22.64,0.01,-32.08,-151.31,24.12,-6.03
-8.39,23.27,0.01,-32.13,-151.08,24.01,-5.72
-6.37,30.81,0.01,-31.99,-150.88,24.36,-5.38
-5.73,31.43,0.01,-31.70,-150.55,24.85,-4.91
-4.38,35.89,0.01,-31.47,-150.27,25.44,-4.45
-7.80,32.06,0.01,-31.05,-149.70,26.05,-3.85
-6.70,23.95,0.01,-30.81,-149.38,26.19,-3.47
-7.72,25.01,0.01,-30.51,-149.01,26.42,-3.10
-4.41,24.11,0.01,-30.63,-148.73,26.21,-2.71
1.58,23.19,0.01,-30.76,-148.41,25.96,-2.09
-8.02,32.85,0.01,-30.72,-147.90,26.22,-1.64
0.07,25.06,0.01,-30.86,-147.63,26.03,-1.16
-5.45,35.73,0.01,-30.83,-147.41,26.37,-0.94
-0.84,30.36,0.01,-30.68,-147.11,26.63,-0.49
-1.03,33.13,0.01,-30.65,-146.78,26.87,-0.02
-0.89,35.05,0.01,-30.65,-146.42,27.15,0.45
-1.72,26.20,0.01,-30.52,-146.03,27.23,0.91
-1.41,26.39,0.01,-30.47,-145.70,27.24,1.31
-2.37,31.42,0.01,-30.49,-145.32,27.36,1.70
3.40,23.46,0.01,-30.80,-144.96,26.92,2.26
2.41,24.92,0.01,-31.16,-144.52,26.49,2.83
0.72,23.93,0.01,-31.48,-144.11,26.10,3.31
4.24,20.46,0.01,-31.87,-143.91,25.52,3.69
3.93,35.00,0.01,-32.15,-143.70,25.56,4.04
4.54,31.87,0.01,-32.31,-143.42,25.61,4.48
1.79,30.00,0.01,-32.52,-143.08,25.55,4.87
1.67,24.66,0.01,-32.78,-142.77,25.26,5.20
3.32,24.84,0.01,-33.21,-142.45,24.84,5.59
7.27,25.36,0.01,-33.79,-142.23,24.28,6.01
4.85,45.01,0.01,-34.58,-141.87,24.21,6.46
6.90,23.07,0.01,-35.19,-141.38,23.59,7.10
4.88,23.92,0.01,-35.53,-141.02,23.28,7.51
4.58,31.95,0.01,-35.70,-140.55,23.41,8.01
4.03,23.48,0.01,-35.94,-140.14,23.19,8.42
3.28,27.74,0.01,-36.08,-139.84,23.21,8.67
7.07,31.14,0.01,-36.41,-139.61,23.16,8.98
3.92,22.00,0.01,-36.73,-139.35,22.83,9.21
7.17,30.02,0.01,-37.03,-139.28,22.79,9.34
9.38,21.85,0.01,-37.16,-139.03,22.65,9.71
4.90,27.18,0.01,-37.46,-138.78,22.53,9.93
8.65,25.78,0.01,-37.71,-138.53,22.41,10.26
11.99,19.86,0.01,-37.88,-138.20,22.18,10.78
8.83,24.83,0.01,-38.26,-137.93,21.91,11.11
5.75,24.82,0.01,-38.55,-137.63,21.75,11.36
7.29,21.45,0.01,-38.84,-137.50,21.48,11.48
6.55,23.58,0.01,-39.16,-137.42,21.27,11.52
8.62,23.01,0.01,-39.54,-137.38,20.97,11.60
